Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
574.0,11.2,26.0,17.8
575.0,13.2,31.0,17.2
576.0,11.0,27.9,18.5
577.0,11.9,25.4,18.4
578.0,9.93,30.8,13.6
579.0,9.12,27.9,16.1
580.0,10.6,20.8,19.3
581.0,12.2,25.9,14.9
582.0,10.7,28.5,15.7
583.0,9.89,23.2,17.2
584.0,10.3,32.1,13.8
585.0,14.9,25.3,14.8
586.0,20.4,31.9,14.2
587.0,13.1,156.0,19.4
588.0,9.77,23.5,22.1
589.0,9.54,26.1,17.7
590.0,10.4,34.5,17.5
591.0,9.83,22.9,15.2
592.0,9.46,32.9,14.4
593.0,9.46,30.4,18.7
594.0,13.7,64.7,12.1
595.0,14.2,36.4,16.8
596.0,9.98,30.5,19.6
597.0,10.2,32.3,19.7
598.0,16.6,32.5,18.5
599.0,16.3,28.4,16.6
600.0,13.3,26.2,15.7
601.0,11.9,125.0,19.0
602.0,10.5,37.9,13.0
603.0,10.7,22.7,11.2
604.0,11.7,33.6,17.5
605.0,16.1,27.4,18.9
606.0,18.1,32.8,19.2
607.0,15.4,28.5,17.1
608.0,10.1,30.7,17.1
609.0,10.1,27.4,13.2
610.0,9.8,26.0,17.2
611.0,9.31,23.7,20.8
612.0,11.7,27.1,17.0
613.0,10.2,33.4,15.9
614.0,9.2,75.4,15.1
615.0,14.4,31.1,19.2
616.0,9.91,22.7,13.5
617.0,10.6,29.6,17.2
618.0,13.2,23.6,25.4
619.0,11.2,31.9,10.9
620.0,10.3,31.2,15.7
621.0,19.2,24.4,17.9
622.0,12.8,31.8,25.4
623.0,15.4,24.9,15.3
624.0,9.92,26.2,16.4
625.0,14.1,23.3,16.8
626.0,10.2,165.0,24.7
627.0,10.1,31.8,15.9
628.0,10.7,31.2,13.6
629.0,10.7,34.0,19.0
630.0,10.4,23.9,20.7
631.0,14.8,25.2,12.9
632.0,10.2,19.7,15.9
633.0,9.56,24.9,17.4
634.0,8.98,31.9,20.1
635.0,9.04,24.1,14.8
636.0,9.13,17.3,12.9
637.0,8.05,36.6,20.2
638.0,9.86,26.8,18.5
639.0,9.3,26.1,17.6
640.0,9.91,168.0,14.6
641.0,10.4,25.7,12.8
642.0,9.41,20.2,17.9
643.0,9.78,27.8,13.5
644.0,11.8,28.5,16.2
645.0,11.3,25.9,19.6
646.0,11.0,24.9,11.9
647.0,9.13,24.1,11.1
648.0,13.5,26.5,19.0
649.0,8.79,31.5,13.1
650.0,9.27,29.2,19.0
651.0,9.27,25.2,20.6
652.0,9.16,29.6,15.2
653.0,8.97,33.0,15.3
654.0,9.14,27.9,18.1
655.0,19.1,18.8,17.4
656.0,9.66,22.9,11.4
657.0,12.6,25.3,19.5
658.0,9.55,135.0,13.3
659.0,10.3,27.2,11.8
660.0,15.7,22.3,19.4
